,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
36,,,,,1959-06-06,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,79,",,0",52,",,0",71,",,0,0800",,,,,,,,,,,,
37,,,,,1959-06-07,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.36,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,83,",,0",49,",,0",64,",,0,0800",,,    1,",,0",,,,,,,,
38,,,,,1959-06-08,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,74,",,0",56,",,0",61,",,0,0800",,,,,,,,,,,,
39,,,,,1959-06-09,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,84,",,0",58,",,0",75,",,0,0800",,,,,,,,,,,,
40,,,,,1959-06-10,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,91,",,0",55,",,0",69,",,0,0800",,,,,,,,,,,,
41,,,,,1959-06-11,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,91,",,0",61,",,0",63,",,0,0800",,,,,,,,,,,,
42,,,,,1959-06-12,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,72,",,0",48,",,0",56,",,0,0800",,,,,,,,,,,,
43,,,,,1959-06-13,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.17,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,71,",,0",54,",,0",67,",,0,0800",,,    1,",,0",,,,,,,,
44,,,,,1959-06-14,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.46,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,73,",,0",51,",,0",52,",,0,0800",,,    1,",,0",,,,,,,,
45,,,,,1959-06-15,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.37,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,56,",,0",44,",,0",46,",,0,0800",,,,,,,,,,,,
46,,,,,1959-06-16,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,55,",,0",45,",,0",53,",,0,0800",,,,,,,,,,,,
47,,,,,1959-06-17,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.02,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,58,",,0",47,",,0",52,",,0,0800",,,,,,,,,,,,
48,,,,,1959-06-18,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.27,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,52,",,0",47,",,0",52,",,0,0800",,,,,,,,,,,,
49,,,,,1959-06-19,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.13,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,63,",,0",52,",,0",53,",,0,0800",,,,,,,,,,,,
50,,,,,1959-06-20,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,"T,,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,62,",,0",45,",,0",62,",,0,0800",,,,,,,,,,,,
51,,,,,1959-06-21,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,80,",,0",54,",,0",72,",,0,0800",,,,,,,,,,,,
52,,,,,1959-06-22,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,"T,,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,83,",,0",53,",,0",62,",,0,0800",,,,,,,,,,,,
53,,,,,1959-06-23,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.23,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,75,",,0",61,",,0",66,",,0,0800",,,,,,,,,,,,
54,,,,,1959-06-24,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,79,",,0",49,",,0",62,",,0,0800",,,,,,,,,,,,
55,,,,,1959-06-25,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.02,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,76,",,0",58,",,0",62,",,0,0800",,,,,,,,,,,,
56,,,,,1959-06-26,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.08,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,65,",,0",60,",,0",65,",,0,0800",    1,",,0",,,,,,,,,,
57,,,,,1959-06-27,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.44,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,79,",,0",58,",,0",59,",,0,0800",,,    1,",,0",,,,,,,,
58,,,,,1959-06-28,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,69,",,0",58,",,0",59,",,0,0800",,,,,,,,,,,,
59,,,,,1959-06-29,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,"T,,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,67,",,0",59,",,0",67,",,0,0800",,,,,,,,,,,,
60,,,,,1959-06-30,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,93,",,0",64,",,0",76,",,0,0800",,,,,,,,,,,,
61,,,,,1959-07-01,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,89,",,0",61,",,0",61,",,0,0800",,,,,,,,,,,,
62,,,,,1959-07-02,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.16,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,73,",,0",58,",,0",64,",,0,0800",,,    1,",,0",,,,,,,,
63,,,,,1959-07-03,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.04,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,81,",,0",52,",,0",67,",,0,0800",,,,,,,,,,,,
64,,,,,1959-07-04,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,80,",,0",49,",,0",75,",,0,0800",,,,,,,,,,,,
65,,,,,1959-07-05,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,83,",,0",51,",,0",71,",,0,0800",,,,,,,,,,,,
66,,,,,1959-07-06,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,80,",,0",57,",,0",65,",,0,0800",,,,,,,,,,,,
67,,,,,1959-07-07,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.08,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,78,",,0",56,",,0",64,",,0,0800",,,,,,,,,,,,
68,,,,,1959-07-08,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,77,",,0",51,",,0",66,",,0,0800",,,,,,,,,,,,
69,,,,,1959-07-09,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,85,",,0",52,",,0",65,",,0,0800",,,,,,,,,,,,
70,,,,,1959-07-10,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,85,",,0",59,",,0",70,",,0,0800",,,,,,,,,,,,
71,,,,,1959-07-11,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",2.12,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,84,",,0",66,",,0",68,",,0,0800",,,,,,,,,,,,
72,,,,,1959-07-12,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.02,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,85,",,0",65,",,0",69,",,0,0800",,,,,,,,,,,,
73,,,,,1959-07-13,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,74,",,0",67,",,0",69,",,0,0800",,,    1,",,0",,,,,,,,
74,,,,,1959-07-14,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.03,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,82,",,0",66,",,0",69,",,0,0800",    1,",,0",,,,,,,,,,
75,,,,,1959-07-15,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.41,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,73,",,0",63,",,0",63,",,0,0800",    1,",,0",,,,,,,,,,
76,,,,,1959-07-16,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.42,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,66,",,0",60,",,0",64,",,0,0800",,,,,,,,,,,,
77,,,,,1959-07-17,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,77,",,0",57,",,0",63,",,0,0800",    1,",,0",,,,,,,,,,
78,,,,,1959-07-18,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,86,",,0",62,",,0",74,",,0,0800",,,,,,,,,,,,
79,,,,,1959-07-19,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,84,",,0",66,",,0",72,",,0,0800",,,,,,,,,,,,
80,,,,,1959-07-20,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.71,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,85,",,0",70,",,0",71,",,0,0800",,,    1,",,0",,,,,,,,
81,,,,,1959-07-21,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",2.69,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,80,",,0",68,",,0",70,",,0,0800",,,,,,,,,,,,
82,,,,,1959-07-22,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,84,",,0",69,",,0",73,",,0,0800",,,,,,,,,,,,
83,,,,,1959-07-23,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,89,",,0",66,",,0",72,",,0,0800",,,,,,,,,,,,
84,,,,,1959-07-24,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,89,",,0",71,",,0",74,",,0,0800",,,,,,,,,,,,
85,,,,,1959-07-25,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,87,",,0",68,",,0",73,",,0,0800",,,,,,,,,,,,
86,,,,,1959-07-26,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,78,",,0",53,",,0",71,",,0,0800",    1,",,0",,,,,,,,,,
87,,,,,1959-07-27,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,83,",,0",56,",,0",67,",,0,0800",,,,,,,,,,,,
88,,,,,1959-07-28,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,86,",,0",58,",,0",69,",,0,0800",,,,,,,,,,,,
89,,,,,1959-07-29,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,91,",,0",64,",,0",70,",,0,0800",    1,",,0",,,,,,,,,,
90,,,,,1959-07-30,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,90,",,0",67,",,0",69,",,0,0800",    1,",,0",,,,,,,,,,
91,,,,,1959-07-31,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,86,",,0",67,",,0",71,",,0,0800",,,,,,,,,,,,
92,,,,,1959-08-01,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,81,",,0",70,",,0",80,",,0,0800",,,,,,,,,,,,
93,,,,,1959-08-02,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,86,",,0",52,",,0",64,",,0,0800",,,,,,,,,,,,
94,,,,,1959-08-03,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,77,",,0",47,",,0",62,",,0,0800",,,,,,,,,,,,
