,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES
36,,,1942-02-06,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"T,,6,",0.0,",,6,",,,USC00190562,34,",,6",25,",,6",27,",,6,",,,,,,,,,,,,,,,,,    1,",,6",,,,
37,,,1942-02-07,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.10,",,6,",0.5,",,6,",,,USC00190562,36,",,6",25,",,6",34,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",    1,",,6"
38,,,1942-02-08,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,37,",,6",8,",,6",10,",,6,",,,,,,,,,,,,,,,,,,,,,,
39,,,1942-02-09,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,25,",,6",6,",,6",9,",,6,",,,,,,,,,,,,,,,,,,,,,,
40,,,1942-02-10,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,35,",,6",7,",,6",16,",,6,",,,,,,,,,,,,,,,,,,,,,,
41,,,1942-02-11,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,34,",,6",7,",,6",8,",,6,",,,,,,,,,,,,,,,,,,,,,,
42,,,1942-02-12,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,25,",,6",3,",,6",8,",,6,",,,,,,,,,,,,,,,    1,",,6",,,,,,
43,,,1942-02-13,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,26,",,6",6,",,6",22,",,6,",,,,,,,,,,,,,,,,,,,,,,
44,,,1942-02-14,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,33,",,6",15,",,6",20,",,6,",,,,,,,,,,,,,,,,,,,,,,
45,,,1942-02-15,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,39,",,6",14,",,6",17,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",,
