,STATION,NAME,DATE,SEASON,TMIN,TMAX,TAVG
158,USW00014739,"BOSTON, MA US",1937-06-08,SPRING,59,73,
159,USW00014739,"BOSTON, MA US",1937-06-09,SPRING,58,86,
160,USW00014739,"BOSTON, MA US",1937-06-10,SPRING,58,77,
161,USW00014739,"BOSTON, MA US",1937-06-11,SPRING,57,71,
162,USW00014739,"BOSTON, MA US",1937-06-12,SPRING,59,83,
163,USW00014739,"BOSTON, MA US",1937-06-13,SPRING,61,83,
164,USW00014739,"BOSTON, MA US",1937-06-14,SPRING,60,76,
165,USW00014739,"BOSTON, MA US",1937-06-15,SPRING,65,78,
166,USW00014739,"BOSTON, MA US",1937-06-16,SPRING,59,73,
167,USW00014739,"BOSTON, MA US",1937-06-17,SPRING,58,69,
168,USW00014739,"BOSTON, MA US",1937-06-18,SPRING,58,81,
169,USW00014739,"BOSTON, MA US",1937-06-19,SPRING,56,62,
170,USW00014739,"BOSTON, MA US",1937-06-20,SPRING,55,66,
171,USW00014739,"BOSTON, MA US",1937-06-21,SUMMER,56,69,
172,USW00014739,"BOSTON, MA US",1937-06-22,SUMMER,62,73,
173,USW00014739,"BOSTON, MA US",1937-06-23,SUMMER,62,75,
174,USW00014739,"BOSTON, MA US",1937-06-24,SUMMER,58,75,
175,USW00014739,"BOSTON, MA US",1937-06-25,SUMMER,58,80,
176,USW00014739,"BOSTON, MA US",1937-06-26,SUMMER,56,62,
177,USW00014739,"BOSTON, MA US",1937-06-27,SUMMER,56,69,
178,USW00014739,"BOSTON, MA US",1937-06-28,SUMMER,58,65,
179,USW00014739,"BOSTON, MA US",1937-06-29,SUMMER,58,71,
180,USW00014739,"BOSTON, MA US",1937-06-30,SUMMER,60,72,
181,USW00014739,"BOSTON, MA US",1937-07-01,SUMMER,63,77,
182,USW00014739,"BOSTON, MA US",1937-07-02,SUMMER,59,79,
183,USW00014739,"BOSTON, MA US",1937-07-03,SUMMER,62,76,
184,USW00014739,"BOSTON, MA US",1937-07-04,SUMMER,60,74,
185,USW00014739,"BOSTON, MA US",1937-07-05,SUMMER,65,88,
186,USW00014739,"BOSTON, MA US",1937-07-06,SUMMER,64,88,
187,USW00014739,"BOSTON, MA US",1937-07-07,SUMMER,70,93,
188,USW00014739,"BOSTON, MA US",1937-07-08,SUMMER,74,99,
189,USW00014739,"BOSTON, MA US",1937-07-09,SUMMER,69,88,
190,USW00014739,"BOSTON, MA US",1937-07-10,SUMMER,71,90,
191,USW00014739,"BOSTON, MA US",1937-07-11,SUMMER,66,80,
192,USW00014739,"BOSTON, MA US",1937-07-12,SUMMER,62,68,
193,USW00014739,"BOSTON, MA US",1937-07-13,SUMMER,58,68,
194,USW00014739,"BOSTON, MA US",1937-07-14,SUMMER,55,78,
195,USW00014739,"BOSTON, MA US",1937-07-15,SUMMER,62,71,
196,USW00014739,"BOSTON, MA US",1937-07-16,SUMMER,68,92,
197,USW00014739,"BOSTON, MA US",1937-07-17,SUMMER,74,91,
