,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
57,,,1959-03-30,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,"T,,0,0800",0.0,",,0,",4.0,",,0,",USC00190408,38,",,0",25,",,0",35,",,0,0800",,,,,,,,,,,,
58,,,1959-03-31,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.05,",,0,0800",0.0,",,0,",3.0,",,0,",USC00190408,48,",,0",33,",,0",47,",,0,0800",,,,,,,,,,,,
59,,,1959-04-01,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",2.0,",,0,",USC00190408,58,",,0",35,",,0",58,",,0,0800",,,,,,,,,,,,
60,,,1959-04-02,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.07,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,58,",,0",38,",,0",52,",,0,0800",    1,",,0",,,,,,,,,,
61,,,1959-04-03,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",1.58,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,55,",,0",34,",,0",55,",,0,0800",,,,,,,,,,,,
62,,,1959-04-04,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.12,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,55,",,0",39,",,0",42,",,0,0800",,,,,,,,,,,,
63,,,1959-04-05,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,54,",,0",29,",,0",52,",,0,0800",,,,,,,,,,,,
64,,,1959-04-06,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.02,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,52,",,0",41,",,0",42,",,0,0800",,,,,,,,,,,,
65,,,1959-04-07,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,48,",,0",25,",,0",47,",,0,0800",,,,,,,,,,,,
66,,,1959-04-08,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.01,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,65,",,0",39,",,0",58,",,0,0800",,,,,,,,,,,,
67,,,1959-04-09,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.15,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,58,",,0",40,",,0",54,",,0,0800",,,    1,",,0",,,,,,,,
68,,,1959-04-10,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.05,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,54,",,0",39,",,0",42,",,0,0800",,,,,,,,,,,,
